angle,samples,rmse,mae,bias,r2,dataset,split,file_count
-40,1652,0.19872529937863082,0.05543551479972138,-0.006030847172303242,0.9488899943852845,sim,test,1
-30,1652,0.3051201475187602,0.07502663811444693,-0.0011179240040966154,0.8982765803860604,sim,test,1
-20,1652,0.30968316229222537,0.08747007100130468,0.007228008068529584,0.9188463039228751,sim,test,1
-10,1652,0.2877126127978915,0.08618496377595834,0.010978344745771172,0.9471667450281704,sim,test,1
-5,1652,0.31382726589452326,0.09512745999988313,0.013539870627004106,0.9423940843818599,sim,test,1
0,1652,0.38636653669058335,0.1129493651612045,0.01847507214501968,0.9157926389329835,sim,test,1
5,1652,0.3786095018432398,0.11118891744850459,0.017835673458305962,0.9243035049175632,sim,test,1
10,1652,0.42164091381621,0.1222038445656468,0.017266648832524475,0.9016341417914504,sim,test,1
20,1652,0.8991272999114435,0.4546432053035822,0.030215104284494393,0.6739308106715884,sim,test,1
30,1652,0.3980153474479842,0.12195055358708802,0.010303135185405989,0.9363962156987957,sim,test,1
40,1652,0.505534860936878,0.1167732630684246,-0.005497062730501455,0.8818065037296123,sim,test,1
50,1652,0.09718434816686794,0.0284905350091853,-0.005394884989015605,0.9797005146985213,sim,test,1
60,1652,1.566228052833202e-08,1.2826354007014666e-08,-8.239749139248897e-09,,sim,test,1
