angle,samples,rmse,mae,bias,r2,dataset,split,file_count
10,2269,0.27846640781609455,0.08270501100943908,0.003505842859092668,0.9502447929681238,sim,val,2
20,2269,0.7771868858461726,0.4093271906681777,-0.007683624251006786,0.7304338125345997,sim,val,2
30,2269,0.3357759520690254,0.10493363873026863,-0.00481245785780382,0.9566466456818716,sim,val,2
40,2269,0.4101145620990322,0.10830184820244253,0.0025848762289320823,0.9352562290705283,sim,val,2
50,2269,0.06774997887090507,0.02981587966262484,-0.00253809081836501,0.9963626689499538,sim,val,2
60,2269,1.5882147537491358e-08,1.3303942398936702e-08,-6.8588470832589245e-09,,sim,val,2
-60,3921,1.5030592911748292e-08,1.2365328873104766e-08,-5.610168220882852e-09,,sim,test,3
-50,3921,0.09704244915418275,0.028642548518102176,-0.002037216518234273,0.9783689470471458,sim,test,3
-40,3921,0.17804641195344975,0.05231697918083724,-0.0023124049779794974,0.9562228361974079,sim,test,3
-30,3921,0.2256964968602455,0.06407751823661594,0.0015304127337826467,0.9525439867796446,sim,test,3
-20,3921,0.26731655568906215,0.07538969559403721,-0.0007898547958739077,0.9394930560699032,sim,test,3
-10,3921,0.26873400909799466,0.07704129809208224,-0.0020067076944755694,0.9425083649638033,sim,test,3
-5,3921,0.22939934138653922,0.0770187492080768,-0.001377531652062433,0.9628795531380551,sim,test,3
0,3921,0.2824857748915078,0.0869022780534131,-0.0011377284479020422,0.9460476866428263,sim,test,3
5,3921,0.2815355022435432,0.08796791818516494,-0.003135064037209304,0.9507062029514601,sim,test,3
10,3921,0.28405160109632505,0.09176938847448315,-0.002791043436882464,0.9572241609796119,sim,test,3
20,3921,0.8632927939966263,0.4421630032666734,-0.004934384520905401,0.7062594785662197,sim,test,3
30,3921,0.4205524064036435,0.11539864499266103,-0.0004107503364999573,0.9310376649487484,sim,test,3
40,3921,0.3860346760856895,0.10541231591955452,0.0029918602285921203,0.9430237680423695,sim,test,3
50,3921,0.20990436483997027,0.04735646593283279,0.0007753699096878883,0.976649455365449,sim,test,3
60,3921,1.5030592911748292e-08,1.2365328873104766e-08,-5.610168220882852e-09,,sim,test,3
